Title,Category,Rating,Year,Length,Type,Age,Genre
"Mupparna, återkomsten",['actor'],7.1/10,2011,2h,Movie,Btl,"['Adventure', 'Comedy', 'Family']"
Childish Gambino: Bonfire,"['actor', 'writer', 'producer', 'soundtrack', 'composer']",7.8/10,2011,3m,Music Video,,"['Horror', 'Music']"
Best Coast: Our Deal,['actor'],7.4/10,2011,10m,Music Video,,"['Short', 'Drama', 'Music']"
Childish Gambino: Freaks and Geeks,"['actor', 'writer', 'producer', 'soundtrack', 'composer']",7.6/10,2011,4m,Music Video,,['Music']
Moves: The Rise and Rise of the New Pornographers,['actor'],6.7/10,2011,4m,Music Video,,"['Short', 'Comedy', 'Music']"
UCB Comedy Originals,"['actor', 'writer', 'composer', 'self']",6.6/10,2007–,,TV Series,,"['Short', 'Comedy']"
Robot Chicken: Star Wars III,['actor'],8.0/10,2010,45m,TV Movie,TV-14,"['Animation', 'Adventure', 'Comedy']"
Thomas Jefferson,['actor'],,2010,,Video,,"['Short', 'Comedy']"
GINK,['actor'],6.9/10,2010,,Video,,"['Short', 'Comedy']"
Community: Study Break,['actor'],7.6/10,2010,2m,TV Mini Series,,"['Short', 'Comedy']"
I Am Tiger Woods,['actor'],7.1/10,2009,2m,Movie,,"['Short', 'Comedy']"
Don't Jerk Off to This,['actor'],6.1/10,2009,5m,Video,,"['Short', 'Comedy']"
Boy Band,['actor'],7.0/10,2009,,Video,,"['Short', 'Comedy']"
Mystery Team Adventures: The Case of the Haunted Hotel,['actor'],6.8/10,2009,6m,Video,,"['Short', 'Comedy']"
Mystery Team,"['actor', 'writer', 'producer', 'soundtrack', 'composer']",6.6/10,2009,1h 37m,Movie,R,"['Comedy', 'Crime', 'Mystery']"
Wink,['actor'],,2007,,Video,,"['Short', 'Comedy']"
Jazz Man,['actor'],6.6/10,2007,,Video,,"['Short', 'Comedy']"
Shouting Homeless Realtor,['actor'],,2007,,Video,,"['Short', 'Comedy']"
Rookie,['actor'],,2007,,Video,,"['Short', 'Comedy']"
Memory Loss,"['actor', 'writer', 'producer']",7.2/10,2007,,Video,,"['Short', 'Comedy']"
Mafia,['actor'],,2007,,Video,,"['Short', 'Comedy']"
New Bike,"['actor', 'writer', 'producer']",7.2/10,2007,,Video,,"['Short', 'Comedy']"
Party Dudes,['actor'],,2007,,Video,,"['Short', 'Comedy']"
Bronx World Travelers,['actor'],7.8/10,2007–2008,3m,TV Series,,"['Comedy', 'Sport']"
Funny,['actor'],7.2/10,2007,,Video,,"['Short', 'Comedy']"
Hip Hop,['actor'],,2007,,Video,,"['Short', 'Comedy']"
Ad Campaign,['actor'],,2007,,Video,,"['Short', 'Comedy']"
Human Giant,['actor'],8.1/10,2007–2008,30m,TV Series,TV-14,['Comedy']
WQXR: The Cool Breeze,['actor'],7.6/10,2007,,Video,,"['Short', 'Comedy']"
Emo Song,"['actor', 'writer', 'producer', 'soundtrack', 'composer']",6.8/10,2007,,Video,,"['Short', 'Comedy', 'Music']"
Foreigner,['actor'],,2007,,Video,,"['Short', 'Comedy']"
Guns,['actor'],,2007,,Video,,"['Short', 'Comedy']"
B-Boy Stance,['actor'],6.3/10,2007,,Video,,"['Short', 'Comedy']"
Jerry,"['actor', 'writer', 'producer']",8.7/10,2007,,Video,,"['Short', 'Comedy']"
Girls Are Not to Be Trusted,"['actor', 'writer', 'producer']",8.4/10,2006,,Video,,"['Short', 'Comedy']"
Celebrity,"['actor', 'writer', 'producer']",7.6/10,2006,,Video,,"['Short', 'Comedy']"
Self Defense,"['actor', 'writer', 'producer']",8.2/10,2006,,Video,,"['Short', 'Comedy']"
He Really Gave It to Me,['actor'],6.7/10,2006,,Video,,"['Short', 'Comedy']"
KP,['actor'],5.2/10,2006,,Video,,"['Short', 'Comedy']"
Movie Executive Dad,['actor'],7.6/10,2006,,Video,,"['Short', 'Comedy']"
National Spelling Bee,"['actor', 'writer', 'producer']",8.6/10,2006,,Video,,"['Short', 'Comedy']"
Little Drummer Boy,['actor'],,2006,,Movie,,"['Short', 'Comedy']"
Opposite Day,['actor'],6.6/10,2006,,Video,,"['Short', 'Comedy']"
Bro Rape: A Newsline Investigative Report,"['actor', 'writer', 'producer']",8.4/10,2006,8m,Video,,"['Short', 'Comedy']"
Drunk Baby,['actor'],6.7/10,2006,,Video,,"['Short', 'Comedy']"
Keyboard Kid,"['actor', 'writer', 'producer', 'soundtrack', 'composer']",8.0/10,2006,,Video,,"['Short', 'Comedy', 'Music']"
Progression of a Mad Hatter,['actor'],6.8/10,2006,,Video,,"['Short', 'Comedy']"
Diet Coke with Lime Ad,['actor'],,2006,,Video,,"['Short', 'Comedy']"
Tracing the Call,['actor'],6.5/10,2006,,Video,,"['Short', 'Comedy']"
Black Peter Pan,"['actor', 'writer']",6.6/10,2006,3m,Movie,,"['Short', 'Comedy']"
Culliver Family Variety Hour,['actor'],,2006,5m,TV Short,,"['Short', 'Comedy']"
Conan O'Brien,['actor'],8.2/10,1993–2009,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Gene Shalit's Preview Corner,['actor'],5.2/10,2005,5m,TV Short,,"['Short', 'Comedy']"
Winner Takes All,['actor'],5.4/10,1998,1h 37m,TV Movie,R,"['Action', 'Crime', 'Drama']"
Untitled Janine Nabers/Donald Glover/Amazon Project,['writer'],,,,TV Series,,[]
Donald Glover: Weirdo,"['writer', 'self']",7.4/10,2012,1h 5m,TV Special,Not Rated,['Comedy']
Funny as Hell,"['writer', 'self']",4.6/10,2011–,30m,TV Series,TV-14,['Comedy']
Comedy Central Presents,"['writer', 'self']",7.9/10,1998–2011,30m,TV Series,TV-14,"['Documentary', 'Comedy']"
Live at Gotham,"['writer', 'self']",6.4/10,2006–,,TV Series,,['Comedy']
CH Live: NYC,"['writer', 'self']",,2009–2010,,TV Series,,"['Short', 'Comedy']"
Blowjob Girl,"['writer', 'producer', 'composer']",6.6/10,2007,2m,Video,,"['Short', 'Comedy']"
Virginity Mixtape,['writer'],3.6/10,2006,4m,Movie,,"['Short', 'Comedy']"
The Underground Railroad,['soundtrack'],7.4/10,2021,9h 53m,TV Mini Series,16+,"['Drama', 'Fantasy', 'History']"
420 AWARDS: 3rd Annual Event,['soundtrack'],5.5/10,2021,,TV Special,,['Comedy']
Black Is King,['soundtrack'],5.7/10,2020,1h 25m,Movie,TV-14,"['Adventure', 'Drama', 'Fantasy']"
The Disney Family Singalong Volume 2,"['soundtrack', 'self']",7.2/10,2020,,TV Special,TV-G,"['Family', 'Music', 'Musical']"
Klassen,['soundtrack'],5.3/10,2019–,,TV Series,,['Drama']
Good Morning Britain,['soundtrack'],3.1/10,2014–,2h 30m,TV Series,,"['News', 'Talk-Show']"
The Voice,['soundtrack'],5.2/10,2012–,,TV Series,,"['Game-Show', 'Music', 'Reality-TV']"
The Big Narstie Show,['soundtrack'],4.8/10,2018–,1h 5m,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
Burger Quiz,['soundtrack'],8.4/10,2001–2020,26m,TV Series,,"['Comedy', 'Family', 'Game-Show']"
F.A.M.,['soundtrack'],,2018,29m,Movie,,"['Short', 'Drama']"
Saturday Night Live,"['soundtrack', 'self']",8.0/10,1975–,1h 30m,TV Series,TV-14,"['Comedy', 'Music']"
"Game Over, Man!",['soundtrack'],5.4/10,2018,1h 41m,Movie,TV-MA,"['Action', 'Comedy']"
The 60th Annual Grammy Awards,"['soundtrack', 'self']",4.6/10,2018,,TV Special,TV-14,['Music']
The Tonight Show Starring Jimmy Fallon,"['soundtrack', 'self']",7.1/10,2014–,1h,TV Series,15,"['Comedy', 'Music', 'Talk-Show']"
"Roman J. Israel, Esq.",['soundtrack'],6.5/10,2017,2h 2m,Movie,7,"['Crime', 'Drama', 'Thriller']"
Greenleaf,['soundtrack'],7.4/10,2016–2020,1h,TV Series,13,['Drama']
Insecure,['soundtrack'],8.0/10,2016–2021,30m,TV Series,15,"['Comedy', 'Romance']"
Skam,['soundtrack'],8.6/10,2015–2017,30m,TV Series,Not Rated,"['Drama', 'Romance']"
Get Out,['soundtrack'],7.7/10,2017,1h 44m,Movie,15,"['Horror', 'Mystery', 'Thriller']"
Power,['soundtrack'],8.1/10,2014–2020,50m,TV Series,15,"['Crime', 'Drama']"
Roadies,['soundtrack'],7.3/10,2016,1h,TV Series,TV-MA,"['Comedy', 'Drama', 'Music']"
Creed,['soundtrack'],7.6/10,2015,2h 13m,Movie,11,"['Action', 'Drama', 'Sport']"
Dancing in Small Spaces,['soundtrack'],,2014–,,TV Series,,"['Short', 'Comedy']"
HellFish,['soundtrack'],,2015,40m,Movie,,"['Short', 'Adventure', 'Comedy']"
Waterloo Road,['soundtrack'],7.1/10,2006–2022,53m,TV Series,TV-14,"['Drama', 'Romance']"
Rap Critic Reviews,['soundtrack'],6.7/10,2010–,,TV Series,Not Rated,"['Comedy', 'Music']"
Downtown,['soundtrack'],,2014–,,TV Series,,['Short']
Top Five,['soundtrack'],6.4/10,2014,1h 42m,Movie,R,"['Comedy', 'Romance']"
2012 MTV Video Music Awards,"['soundtrack', 'self']",5.7/10,2012,,TV Special,,['Music']
Supporting Characters,['soundtrack'],6.2/10,2012,1h 27m,Movie,Not Rated,['Comedy']
The Playlist,"['soundtrack', 'self']",8.3/10,2012–,,TV Series,,"['Musical', 'Reality-TV']"
The Misadventures of Awkward Black Girl,"['soundtrack', 'composer', 'thanks', 'self']",8.4/10,2011–2013,10m,TV Series,,"['Short', 'Comedy']"
David Letterman Show,"['soundtrack', 'self']",6.9/10,1993–2015,1h,TV Series,TV-PG,"['Comedy', 'Music', 'Talk-Show']"
Conan,"['soundtrack', 'self']",8.2/10,2010–2021,42m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Late Night with Jimmy Fallon,"['soundtrack', 'self']",6.8/10,2009–2014,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Lopez Tonight,"['soundtrack', 'self']",3.7/10,2009–2011,1h,TV Series,,"['Comedy', 'Talk-Show']"
"Beyoncé, Jay-Z, Childish Gambino, Oumou Sangaré: Mood 4 Eva",['composer'],6.7/10,2021,8m,Music Video,,"['Short', 'Music']"
The Women Collection,['composer'],,2017,,Movie,,"['Short', 'Musical']"
Childish Gambino: L.E.S.,['composer'],,2013,6m,Music Video,,['Music']
Leona Lewis: Trouble,['composer'],6.3/10,2012,4m,Music Video,,"['Drama', 'Music', 'Romance']"
High Rise Initiation,['composer'],,2012,7m,Video,,"['Short', 'Music']"
Josh Osho Feat. Childish Gambino: Giants,['composer'],,2012,4m,Music Video,,['Music']
Checkout,['composer'],7.8/10,2006,20m,Movie,,"['Short', 'Comedy']"
Jhené Aiko: The Pressure,['director'],,2014,4m,Music Video,,['Music']
Black Panther,['thanks'],7.3/10,2018,2h 14m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']"
Kuso,['thanks'],4.8/10,2017,1h 34m,Movie,Not Rated,"['Animation', 'Comedy', 'Drama']"
Underground Comedy,['self'],,,,Movie,,"['Documentary', 'Comedy']"
Jimmy Kimmel Live!,['self'],6.5/10,2003–,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News']
The Shop,['self'],6.7/10,2018–,30m,TV Series,TV-MA,['Talk-Show']
Adele: One Night Only,['self'],8.0/10,2021,1h 28m,TV Special,TV-14,"['Documentary', 'Biography', 'Music']"
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,['Talk-Show']
The Darkest Timeline with Ken Jeong & Joel McHale,['self'],8.9/10,2020–,,Podcast Series,,"['Comedy', 'Talk-Show']"
The British Academy Britannia Awards,['self'],,2019,,TV Special,,[]
Dish Nation,['self'],3.7/10,2011–,30m,TV Series,TV-PG,['News']
Ok! TV,"['self', 'archive footage']",2.3/10,2013–,30m,TV Series,,"['News', 'Talk-Show']"
Entertainment Tonight Canada,['self'],3.5/10,2005–,30m,TV Series,,"['Biography', 'Family', 'News']"
Donald Glover Presents,['self'],6.2/10,2019,7m,TV Mini Series,,['Short']
The 76th Annual Golden Globe Awards,['self'],5.4/10,2019,2h 25m,TV Special,TV-14,['Comedy']
Talking with Chris Hardwick,['self'],6.8/10,2017–,42m,TV Series,,['Talk-Show']
Into the Maelstrom: The Kessel Run,['self'],7.0/10,2018,8m,Video,,"['Documentary', 'Short']"
"Scoundrels, Droids, Creatures and Cards: Welcome to Fort Ypso",['self'],6.6/10,2018,8m,Video,,"['Documentary', 'Short']"
Solo: Becoming a Droid L3-37,['self'],6.3/10,2018,5m,Video,,"['Documentary', 'Short']"
Solo: Escape from Corellia,['self'],6.1/10,2018,10m,Video,,"['Documentary', 'Short']"
Solo: Remaking the Millennium Falcon,['self'],6.5/10,2018,6m,Video,,"['Documentary', 'Short']"
Solo: The Director & Cast Roundtable,['self'],6.6/10,2018,22m,Video,,"['Documentary', 'Short']"
The 70th Primetime Emmy Awards,['self'],4.7/10,2018,2h 6m,TV Special,TV-14,['News']
Good Morning America,['self'],4.4/10,1975–,2h,TV Series,TV-G,"['News', 'Talk-Show']"
The IMDb Show,['self'],6.0/10,2017–,13m,TV Series,,['Talk-Show']
Ellen: The Ellen DeGeneres Show,['self'],6.7/10,2003–2022,1h,TV Series,TV-G,"['Comedy', 'Talk-Show']"
Movie Surfers,['self'],6.3/10,1998–,30m,TV Series,,"['Family', 'Comedy']"
The Late Show with Stephen Colbert,"['self', 'archive footage']",7.1/10,2015–,41m,TV Series,TV-PG,"['Comedy', 'Talk-Show']"
The 69th Primetime Emmy Awards,['self'],5.1/10,2017,2h 13m,TV Special,TV-14,['News']
E! Live from the Red Carpet,['self'],3.7/10,1995–,4h,TV Series,Unrated,['News']
The 74th Annual Golden Globe Awards,['self'],5.5/10,2017,3h,TV Special,TV-14,['News']
The Late Late Show with James Corden,['self'],5.8/10,2015–2022,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']"
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,['Talk-Show']
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,['Talk-Show']
Reel Junkie,['self'],5.3/10,2007–,,TV Series,,['Talk-Show']
BET Awards 2015,['self'],5.6/10,2015,3h,TV Special,TV-G,['Family']
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,"['News', 'Talk-Show']"
2014 MTV Video Music Awards,['self'],5.7/10,2014,3h,TV Special,TV-14,['Music']
MTVU Woodie Awards 2014,['self'],,2014,,TV Special,,[]
Harmontown,['self'],7.2/10,2014,1h 41m,Movie,Not Rated,['Documentary']
Le grand journal de Canal+,['self'],5.9/10,2004–,1h,TV Series,,"['Documentary', 'Comedy', 'Talk-Show']"
MTV's Big Day Out,['self'],,2013,,TV Special,,"['Music', 'Reality-TV']"
The Arsenio Hall Show,['self'],4.8/10,2013–2014,1h,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
2012 BET Hip Hop Awards,['self'],5.3/10,2012,,TV Special,,['Music']
The Morning After,['self'],7.1/10,2011–,5m,TV Series,,"['Short', 'Talk-Show']"
Shut Up and Play the Hits,['self'],7.3/10,2012,1h 48m,Movie,Not Rated,"['Documentary', 'Music']"
MSN Exclusives,['self'],5.6/10,2012–,10m,TV Series,,"['Biography', 'Talk-Show']"
17th Annual Critics' Choice Movie Awards,['self'],5.4/10,2012,,TV Special,,['News']
WTF with Marc Maron,['self'],8.0/10,2009–,,Podcast Series,,['Talk-Show']
The Hour,['self'],6.4/10,2004–2014,1h,TV Series,,"['Comedy', 'Music', 'News']"
Attack of the Show!,['self'],7.8/10,2005–2022,1h,TV Series,TV-14,"['News', 'Talk-Show']"
Last Call with Carson Daly,['self'],3.1/10,2002–2019,30m,TV Series,TV-14,"['Music', 'Talk-Show']"
10 Minutes,['self'],4.9/10,2010,,Movie,,"['Short', 'Comedy']"
The Late Late Show with Craig Ferguson,['self'],8.4/10,2005–2015,40m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
The Soup,['self'],8.2/10,2004–2020,25m,TV Series,TV-14,['Comedy']
The 2010 VH1 Do Something Awards,['self'],7.6/10,2010,,TV Special,,[]
Comedy Bang Bang: The Podcast,['self'],9.8/10,2009–,,Podcast Series,,"['Comedy', 'Talk-Show']"
2010 VH1 Hip Hop Honors: The Dirty South,['self'],4.8/10,2010,2h,TV Special,,['Music']
The Tonight Show with Jay Leno,['self'],5.3/10,1992–2014,1h 2m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Comedy Central's Hot List,['self'],,2009,,TV Special,,['Comedy']
Moving Pictures Live!,['self'],2.4/10,2009–2010,22m,TV Series,,['Talk-Show']
Comic-Con '09 Live,['self'],,2009,3h,TV Special,,[]
Awesome; I Fuckin' Shot That!,['self'],7.5/10,2006,1h 30m,Movie,R,"['Documentary', 'Music']"
History of the Sitcom,['archive footage'],7.0/10,2021,45m,TV Series,TV-14,"['Documentary', 'History']"
This Is Pop,['archive footage'],6.9/10,2021–,44m,TV Series,TV-MA,['Music']
A Year in Music,['archive footage'],7.0/10,2019–,30m,TV Series,TV-14,['Music']
The Top Ten Revealed,['archive footage'],7.1/10,2018–,,TV Series,,"['History', 'Music', 'Talk-Show']"
Disney Gallery: Star Wars: The Mandalorian,['archive footage'],8.4/10,2020–,33m,TV Series,12,['Documentary']
LA Originals,['archive footage'],7.2/10,2020,1h 32m,Movie,,['Documentary']
Histoire Brève,['archive footage'],,2014–,,TV Mini Series,,['Documentary']
Untold Stories of Hip Hop,['archive footage'],6.4/10,2019–,1h,TV Series,TV-14,['Talk-Show']
The Truth About 'This Is America',['archive footage'],,2018,,Video,,"['Short', 'News']"
Ares III: Refocused,['archive footage'],7.8/10,2016,17m,Video,,"['Documentary', 'Short', 'Adventure']"
Lennon or McCartney,['archive footage'],5.4/10,2014,34m,Movie,,"['Documentary', 'Short', 'Music']"
